timestamp,user_id,level,message,rfid,tap_time,room
2023-05-06 17:15:35,100007,ERROR,An error occured: Rfid data doesn't match,2301317684,17:15:31,101
2023-05-06 17:15:52,100005,ERROR,An error occured: Rfid data doesn't match,2301317684,17:15:48,101
2023-05-06 17:15:58,100005,ERROR,An error occured: Rfid data doesn't match,2301317684,17:15:55,101
2023-05-06 17:16:51,100004,INFO,Attendance OnTime,2301317684,17:16:46,101
2023-05-06 17:19:39,100004,ERROR,An error occured: Rfid data doesn't match,187255239165,17:19:36,101
2023-05-06 17:19:47,100002,ERROR,An error occured: Rfid data doesn't match,187255239165,17:19:44,101
2023-05-06 17:19:58,100005,ERROR,An error occured: Rfid data doesn't match,187255239165,17:19:55,101
2023-05-06 17:20:04,100005,ERROR,An error occured: Rfid data doesn't match,187255239165,17:20:01,101
2023-05-06 17:20:11,100005,ERROR,An error occured: Rfid data doesn't match,187255239165,17:20:08,101
2023-05-06 17:20:57,100005,ERROR,An error occured: Rfid data doesn't match,187255239165,17:20:53,101
2023-05-06 17:21:04,100005,ERROR,An error occured: Rfid data doesn't match,187255239165,17:21:00,101
2023-05-06 17:21:12,100005,ERROR,An error occured: Rfid data doesn't match,187255239165,17:21:09,101
2023-05-06 17:21:18,100005,ERROR,An error occured: Rfid data doesn't match,187255239165,17:21:15,101
2023-05-06 17:22:08,100004,ERROR,An error occured: Rfid data doesn't match,187255239165,17:22:04,101
2023-05-06 17:22:14,100005,ERROR,An error occured: Rfid data doesn't match,187255239165,17:22:10,101
2023-05-06 17:22:25,100005,ERROR,An error occured: Rfid data doesn't match,187255239165,17:22:21,101
2023-05-06 17:23:13,100005,ERROR,An error occured: Rfid data doesn't match,187255239165,17:23:10,101
2023-05-06 17:25:28,100005,ERROR,An error occured: Rfid data doesn't match,187255239165,17:25:25,101
2023-05-06 17:26:21,100002,ERROR,An error occured: Rfid data doesn't match,187255239165,17:26:18,101
2023-05-06 17:26:35,100004,ERROR,An error occured: Rfid data doesn't match,187255239165,17:26:32,101
2023-05-06 17:26:42,100005,ERROR,An error occured: Rfid data doesn't match,187255239165,17:26:39,101
2023-05-06 17:32:04,100006,INFO,Attendance recorded,187255239165,17:31:59,101
2023-05-06 17:37:30,100005,ERROR,An error occured: Rfid data doesn't match,187255239165,17:37:27,101
2023-05-06 17:37:39,100007,ERROR,An error occured: Rfid data doesn't match,187255239165,17:37:35,101
2023-05-06 17:38:17,100005,ERROR,An error occured: Rfid data doesn't match,187255239165,17:38:13,101
2023-05-06 17:38:23,100009,ERROR,An error occured: Rfid data doesn't match,187255239165,17:38:20,101
2023-05-06 17:38:32,100007,ERROR,An error occured: Rfid data doesn't match,187255239165,17:38:28,101
2023-05-06 17:38:39,100006,INFO,Attendance recorded,187255239165,17:38:35,101
2023-05-06 17:40:46,100005,ERROR,An error occured: Rfid data doesn't match,1341296684,17:40:43,101
2023-05-06 17:40:53,100005,ERROR,An error occured: Rfid data doesn't match,2532024348,17:40:50,101
2023-05-06 17:40:59,100005,ERROR,An error occured: Rfid data doesn't match,2532024348,17:40:56,101
2023-05-06 17:41:06,100005,ERROR,An error occured: Rfid data doesn't match,2532024348,17:41:03,101
2023-05-06 17:41:14,100005,ERROR,An error occured: Rfid data doesn't match,2301317684,17:41:11,101
2023-05-06 17:41:19,100005,ERROR,An error occured: Rfid data doesn't match,2301317684,17:41:16,101
2023-05-07 18:52:23,100011,ERROR,An error occured: Rfid data doesn't match,187255239165,18:52:22,101
2023-05-07 18:52:30,100000,ERROR,An error occured: Rfid data doesn't match,187255239165,18:52:28,101
2023-05-07 18:52:37,100006,INFO,Attendance OnTime,187255239165,18:52:35,101
2023-05-07 18:55:38,100000,ERROR,An error occured: Rfid data doesn't match,2301317684,18:55:37,101
2023-05-07 18:55:45,100005,ERROR,An error occured: Rfid data doesn't match,2301317684,18:55:43,101
2023-05-07 18:55:51,100004,INFO,Attendance OnTime,2301317684,18:55:50,101
2023-05-07 18:58:08,100005,ERROR,An error occured: Rfid data doesn't match,2532024348,18:58:06,101
2023-05-07 18:59:11,100000,ERROR,An error occured: Rfid data doesn't match,2532024348,18:59:10,101
2023-05-07 18:59:20,100000,INFO,Attendance OnTime,2532024348,18:59:19,101
2023-05-08 15:52:59,100003,ERROR,An error occured: Rfid data doesn't match,187255239165,15:52:55,101
2023-05-08 15:53:06,100006,INFO,"Attendance failed to record, Error Code: 200",187255239165,15:53:02,101
2023-05-09 09:12:36,100005,ERROR,An error occured: Rfid data doesn't match,187255239165,09:12:36,101
2023-05-09 09:13:23,100005,ERROR,An error occured: Rfid data doesn't match,187255239165,09:13:23,101
2023-05-09 09:13:32,100006,INFO,Attendance Pending,187255239165,09:13:32,101
